,symbol,isin,close,ema_20,ema_50,period_high,period_low,volume,avg_volume_50d,volume_ratio,price_drop_pct
0,21STCENMGM,INE253B01015,73.42,73.84720362586788,73.28477075557458,80.7,61.5,3006,4535.82,0.6627247112980674,9.02106567534077
1,360ONE,INE466L01038,986.05,958.2502088206235,962.4428221954585,1068.9,790.5,2937845,1332996.14,2.203941115688452,7.750958929740867
2,20MICRONS,INE144J01027,210.52,211.5542387475559,204.7738476531755,235.6,158.2,113893,120591.46,0.9444532805225179,10.645161290322575
3,3PLAND,INE105C01023,41.83,41.9042256952526,42.78566557067269,47.44,36.12,3337,8381.58,0.398134957848043,11.825463743676222
4,5PAISA,INE618L01018,371.45,373.88178810123446,372.4537054253968,409.9,311.65,23977,41256.6,0.5811676192415275,9.38033666747987
5,63MOONS,INE111B01023,644.9,714.4349076592778,735.4385025578994,864.8,591.25,105774,189429.26,0.5583825856681275,25.427844588344122
6,AAREYDRUGS,INE198H01019,53.65,51.174724597567625,47.295502903359434,60.0,31.35,65188,51812.48,1.2581524760057807,10.583333333333336
7,AAATECH,INE0D0U01013,77.04,77.0646720815957,79.81177256653025,99.65,66.0,6819,38871.1,0.17542595913159134,22.68941294530858
8,AARTECH,INE01C001026,57.07,57.791058914615476,60.008341169920094,68.68,49.75,8703,42004.76,0.20719080408982218,16.90448456610368
9,AADHARHFC,INE883F01010,467.05,459.3041616601765,436.9098791219237,491.3,361.6,503449,855293.96,0.5886268622778535,4.935884388357419
10,AARON,INE721Z01010,350.85,346.27719702002645,345.929739673743,389.3,304.95,5172,8961.3,0.5771484048073383,9.876701772412018
11,AARTIIND,INE769A01020,421.25,412.2307265850052,408.21672005467707,448.95,344.2,724695,1515764.62,0.4781052350991013,6.169952110480007
12,AARTIDRUGS,INE767A01016,349.0,351.3449372091881,360.9189688640638,433.0,312.0,244406,186359.02,1.3114793155705584,19.399538106235568
13,AARTIPHARM,INE0LRU01027,713.35,723.7666032004605,719.335982505526,837.25,574.45,195788,678761.72,0.2884487946668531,14.798447297700804
14,AARTISURF,INE09EO01013,440.95,443.6488560254292,461.81945369914575,568.0,396.0,3191,15592.1,0.2046549214025051,22.367957746478876
