symbol,isin
360ONE,INE466L01038
3MINDIA,INE470A01017
ABB,INE117A01022
ACC,INE012A01025
ACMESOLAR,INE622W01025
AIAENG,INE212H01026
APLAPOLLO,INE702C01027
AUBANK,INE949L01017
AWL,INE699H01024
AADHARHFC,INE883F01010
AARTIIND,INE769A01020
AAVAS,INE216P01012
ABBOTINDIA,INE358A01014
ACE,INE731H01025
ADANIENSOL,INE931S01010
ADANIENT,INE423A01024
ADANIGREEN,INE364U01010
ADANIPORTS,INE742F01042
ADANIPOWER,INE814H01011
ATGL,INE399L01023
ABCAPITAL,INE674K01013
ABFRL,INE647O01011
ABREL,INE055A01016
ABSLAMC,INE404A01024
AEGISLOG,INE208C01025
AFCONS,INE101I01011
AFFLE,INE00WC01027
AJANTPHARM,INE031B01049
AKUMS,INE09XN01023
APLLTD,INE901L01018
ALIVUS,INE03Q201024
ALKEM,INE540L01014
ALKYLAMINE,INE150B01039
ALOKINDS,INE270A01029
ARE&M,INE885A01032
AMBER,INE371P01015
AMBUJACEM,INE079A01024
ANANDRATHI,INE463V01026
ANANTRAJ,INE242C01024
ANGELONE,INE732I01013
APARINDS,INE372A01015
APOLLOHOSP,INE437A01024
APOLLOTYRE,INE438A01022
APTUS,INE852O01025
ASAHIINDIA,INE439A01020
ASHOKLEY,INE208A01029
ASIANPAINT,INE021A01026
ASTERDM,INE914M01019
ASTRAZEN,INE203A01020
ASTRAL,INE006I01046
ATUL,INE100A01010
AUROPHARMA,INE406A01037
AIIL,INE206F01022
DMART,INE192R01011
AXISBANK,INE238A01034
BASF,INE373A01013
BEML,INE258A01016
BLS,INE153T01027
BSE,INE118H01025
BAJAJ-AUTO,INE917I01010
BAJFINANCE,INE296A01024
BAJAJFINSV,INE918I01026
BAJAJHLDNG,INE118A01012
BAJAJHFL,INE377Y01014
BALKRISIND,INE787D01026
BALRAMCHIN,INE119A01028
BANDHANBNK,INE545U01014
BANKBARODA,INE028A01039
BANKINDIA,INE084A01016
MAHABANK,INE457A01014
BATAINDIA,INE176A01028
BAYERCROP,INE462A01022
BERGEPAINT,INE463A01038
BDL,INE171Z01026
BEL,INE263A01024
BHARATFORG,INE465A01025
BHEL,INE257A01026
BPCL,INE029A01011
BHARTIARTL,INE397D01024
BHARTIHEXA,INE343G01021
BIKAJI,INE00E101023
BIOCON,INE376G01013
BSOFT,INE836A01035
BLUEDART,INE233B01017
BLUESTARCO,INE472A01039
BBTC,INE050A01025
BOSCHLTD,INE323A01026
FIRSTCRY,INE02RE01045
BRIGADE,INE791I01019
BRITANNIA,INE216A01030
MAPMYINDIA,INE0BV301023
CCL,INE421D01022
CESC,INE486A01021
CGPOWER,INE067A01029
CRISIL,INE007A01025
CAMPUS,INE278Y01022
CANFINHOME,INE477A01020
CANBK,INE476A01022
CAPLIPOINT,INE475E01026
CGCL,INE180C01042
CARBORUNIV,INE120A01034
CASTROLIND,INE172A01027
CEATLTD,INE482A01020
CENTRALBK,INE483A01010
CDSL,INE736A01011
CENTURYPLY,INE348B01021
CERA,INE739E01017
CHALET,INE427F01016
CHAMBLFERT,INE085A01013
CHENNPETRO,INE178A01016
CHOLAHLDNG,INE149A01033
CHOLAFIN,INE121A01024
CIPLA,INE059A01026
CUB,INE491A01021
CLEAN,INE227W01023
COALINDIA,INE522F01014
COCHINSHIP,INE704P01025
COFORGE,INE591G01017
COLPAL,INE259A01022
CAMS,INE596I01012
CONCORDBIO,INE338H01029
CONCOR,INE111A01025
COROMANDEL,INE169A01031
CRAFTSMAN,INE00LO01017
CREDITACC,INE741K01010
CROMPTON,INE299U01018
CUMMINSIND,INE298A01020
CYIENT,INE136B01020
DCMSHRIRAM,INE499A01024
DLF,INE271C01023
DOMS,INE321T01012
DABUR,INE016A01026
DALBHARAT,INE00R701025
DATAPATTNS,INE0IX101010
DEEPAKFERT,INE501A01019
DEEPAKNTR,INE288B01029
DELHIVERY,INE148O01028
DEVYANI,INE872J01023
DIVISLAB,INE361B01024
DIXON,INE935N01020
LALPATHLAB,INE600L01024
DRREDDY,INE089A01031
EIDPARRY,INE126A01031
EIHOTEL,INE230A01023
EICHERMOT,INE066A01021
ELECON,INE205B01031
ELGIEQUIP,INE285A01027
EMAMILTD,INE548C01032
EMCURE,INE168P01015
ENDURANCE,INE913H01037
ENGINERSIN,INE510A01028
ERIS,INE406M01024
ESCORTS,INE042A01014
ETERNAL,INE758T01015
EXIDEIND,INE302A01020
NYKAA,INE388Y01029
FEDERALBNK,INE171A01029
FACT,INE188A01015
FINCABLES,INE235A01022
FINPIPE,INE183A01024
FSL,INE684F01012
FIVESTAR,INE128S01021
FORTIS,INE061F01013
GAIL,INE129A01019
GVT&D,INE200A01026
GMRAIRPORT,INE776C01039
GRSE,INE382Z01011
GICRE,INE481Y01014
GILLETTE,INE322A01010
GLAND,INE068V01023
GLAXO,INE159A01016
GLENMARK,INE935A01035
MEDANTA,INE474Q01031
GODIGIT,INE03JT01014
GPIL,INE177H01039
GODFRYPHLP,INE260B01028
GODREJAGRO,INE850D01014
GODREJCP,INE102D01028
GODREJIND,INE233A01035
GODREJPROP,INE484J01027
GRANULES,INE101D01020
GRAPHITE,INE371A01025
GRASIM,INE047A01021
GRAVITA,INE024L01027
GESHIP,INE017A01032
FLUOROCHEM,INE09N301011
GUJGASLTD,INE844O01030
GMDCLTD,INE131A01031
GNFC,INE113A01013
GPPL,INE517F01014
GSPL,INE246F01010
HEG,INE545A01024
HBLENGINE,INE292B01021
HCLTECH,INE860A01027
HDFCAMC,INE127D01025
HDFCBANK,INE040A01034
HDFCLIFE,INE795G01014
HFCL,INE548A01028
HAPPSTMNDS,INE419U01012
HAVELLS,INE176B01034
HEROMOTOCO,INE158A01026
HSCL,INE019C01026
